BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,28, ,A2, 182 HEENAN AVENUE                         ,            ,10312,1,0,1,"4,000","1,932",1974, 1 , A2 ,$0,9/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,30, ,A2, 186 HEENAN AVENUE                         ,            ,10312,1,0,1,"4,000","1,932",1975, 1 , A2 ,$0,4/18/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6299,46, ,A2, 85 RAMONA AVENUE                          ,            ,10312,1,0,1,"4,000","1,968",1974, 1 , A2 ,$0,3/28/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6304,7, ,A3, 424 VINELAND AVENUE                       ,            ,10312,1,0,1,"8,700","4,200",1992, 1 , A3 ,"$825,000",1/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6305,109, ,A3, 365 VINELAND AVENUE                       ,            ,10312,1,0,1,"11,500","4,096",1990, 1 , A3 ,$0,8/2/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6320,5, ,A2, 192 ALBEE AVENUE                          ,            ,10312,1,0,1,"8,000","2,352",1970, 1 , A2 ,$0,8/7/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6320,50, ,A2, 102 BUFFINGTON AVENUE                     ,            ,10312,1,0,1,"4,000","1,125",1965, 1 , A2 ,$0,9/5/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6321,4, ,A2, 23 ALVINE AVENUE                          ,            ,10312,1,0,1,"4,400",988,1935, 1 , A2 ,$0,12/21/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6322,6, ,A2, 250 ALBEE AVENUE                          ,            ,10312,1,0,1,"8,000","1,432",1960, 1 , A2 ,"$500,000",10/24/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6323,30, ,A1, 20 ALVINE AVENUE                          ,            ,10312,1,0,1,"7,520","1,976",1935, 1 , A1 ,$0,8/4/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6353,12, ,A1, 118 PEARE PLACE                           ,            ,10312,1,0,1,"9,003","3,000",1984, 1 , A1 ,$0,8/30/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6353,12, ,A1, 118 PEARE PLACE                           ,            ,10312,1,0,1,"9,003","3,000",1984, 1 , A1 ,$0,4/5/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6356,24, ,A3, 21 BENNETT PLACE                          ,            ,10312,1,0,1,"11,200","5,240",1994, 1 , A3 ,"$1,200,000",7/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6363,52, ,A1, 159 NOEL STREET                           ,            ,10312,1,0,1,"8,000","4,800",1985, 1 , A1 ,$10,3/1/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6369,20, ,A1, 290 KOCH BOULEVARD                        ,            ,10312,1,0,1,"9,900","3,000",1986, 1 , A1 ,$0,11/27/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6370,45, ,A1, 286 HOLDRIDGE AVENUE                      ,            ,10312,1,0,1,"6,790","2,550",1975, 1 , A1 ,"$600,000",10/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6378,1, ,A1, 161 EYLANDT STREET                        ,            ,10312,1,0,1,"6,100","2,370",1970, 1 , A1 ,"$625,000",12/27/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6382,3, ,A1, 343 BARCLAY AVENUE                        ,            ,10312,1,0,1,"4,137","2,500",1995, 1 , A1 ,$0,7/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6382,34, ,A9, 622 SYCAMORE STREET                       ,            ,10312,1,0,1,"4,000","2,088",1980, 1 , A9 ,"$582,500",2/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6399,12, ,A2, 86 ALLEN PLACE                            ,            ,10312,1,0,1,"5,600","1,104",1930, 1 , A2 ,$0,7/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6401,14, ,A1, 47 ALLEN PLACE                            ,            ,10312,1,0,1,"4,000","2,000",1995, 1 , A1 ,"$250,000",4/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6401,21, ,A2, 33 ALLEN PLACE                            ,            ,10312,1,0,1,"8,000","1,104",1955, 1 , A2 ,$0,12/11/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6421,68, ,A1, 242 TALLMAN STREET                        ,            ,10312,1,0,1,"8,000","2,600",1980, 1 , A1 ,$0,5/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6425,40, ,A1, 76 RAE AVENUE                             ,            ,10312,1,0,1,"4,000","1,278",1935, 1 , A1 ,"$375,000",9/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6441,96, ,A1, 4 DOLE STREET                             ,            ,10312,1,0,1,"4,800",972,1925, 1 , A1 ,"$385,000",9/10/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6442,7, ,A3, 309 POILLON AVENUE                        ,            ,10312,1,0,1,"8,645","4,890",2004, 1 , A3 ,$0,12/21/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6455,28, ,A1, 404 POILLON AVENUE                        ,            ,10312,1,0,1,"5,859","2,913",1997, 1 , A1 ,"$850,000",8/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,150, ,A3, 151 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"21,065","8,380",1997, 1 , A3 ,"$2,450,000",8/9/2012
